"Population","N","5<sup>th</sup> pctl","25<sup>th</sup> pctl","50<sup>th</sup> pctl","75<sup>th</sup> pctl","95<sup>th</sup> pctl","Mean","SD","Geo Mean","Geo SD"
"Aciclovir Adults",100,1.87979455,2.584566,3.180981,3.992897,5.35152395,3.34471541,1.0914256582067,3.17316619365981,1.39006085179573
"Aciclovir Children",100,1.23351315,1.54048625,2.0767775,2.53853875,3.4271024,2.120777331,0.680926786917827,2.01230803623518,1.39174270257578
