"Population","N","5<sup>th</sup> pctl","25<sup>th</sup> pctl","50<sup>th</sup> pctl","75<sup>th</sup> pctl","95<sup>th</sup> pctl","Mean","SD","Geo Mean","Geo SD"
"Aciclovir Adults",100,41.9886505,48.7342105,52.9025275,59.9099795,67.16448125,54.2981058,8.0208429218656,53.7195086281942,1.15849859632754
"Aciclovir Children",100,87.2416655,99.81150625,122.6556725,154.8956275,189.549275,130.00508535,34.1452312226313,125.822174917159,1.29067700018461
